Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,6.880000114440918,7.079999923706055,6.150000095367432,6.5,6.5,105700
2020-01-03,6.550000190734863,6.909999847412109,6.5,6.619999885559082,6.619999885559082,15400
2020-01-06,6.590000152587891,7.03000020980835,6.5,7.03000020980835,7.03000020980835,36800
2020-01-07,7.079999923706055,7.079999923706055,6.289999961853027,6.690000057220459,6.690000057220459,35900
2020-01-08,6.590000152587891,6.690000057220459,6.5,6.590000152587891,6.590000152587891,11100
2020-01-09,6.610000133514404,6.989999771118164,6.309999942779541,6.559999942779541,6.559999942779541,36100
2020-01-10,6.650000095367432,6.840000152587891,6.400000095367432,6.78000020980835,6.78000020980835,30100
2020-01-13,6.900000095367432,6.900000095367432,6.5,6.639999866485596,6.639999866485596,25600
2020-01-14,6.699999809265137,6.699999809265137,6.25,6.480000019073486,6.480000019073486,28800
2020-01-15,6.420000076293945,6.690000057220459,6.300000190734863,6.460000038146973,6.460000038146973,10300
2020-01-16,6.340000152587891,6.510000228881836,6.199999809265137,6.510000228881836,6.510000228881836,28500
2020-01-17,6.510000228881836,7.010000228881836,6.28000020980835,6.599999904632568,6.599999904632568,73400
2020-01-21,6.570000171661377,6.96999979019165,6.570000171661377,6.599999904632568,6.599999904632568,24000
2020-01-22,6.699999809265137,6.900000095367432,6.610000133514404,6.869999885559082,6.869999885559082,26600
2020-01-23,6.820000171661377,6.920000076293945,6.369999885559082,6.369999885559082,6.369999885559082,10900
2020-01-24,6.599999904632568,6.869999885559082,6.440000057220459,6.5,6.5,22900
2020-01-27,6.389999866485596,6.710000038146973,6.309999942779541,6.360000133514404,6.360000133514404,17800
2020-01-28,6.449999809265137,6.71999979019165,6.349999904632568,6.440000057220459,6.440000057220459,80800
2020-01-29,6.510000228881836,6.510000228881836,6.360000133514404,6.369999885559082,6.369999885559082,4000
2020-01-30,6.309999942779541,6.369999885559082,6.0,6.119999885559082,6.119999885559082,47500
2020-01-31,6.369999885559082,6.5,6.0,6.320000171661377,6.320000171661377,53900
2020-02-03,6.489999771118164,6.53000020980835,6.010000228881836,6.429999828338623,6.429999828338623,16900
