Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,57.15999984741211,57.15999984741211,55.709999084472656,56.20000076293945,56.20000076293945,704400
2020-01-03,55.40999984741211,55.900001525878906,54.86000061035156,55.65999984741211,55.65999984741211,1306000
2020-01-06,55.150001525878906,55.869998931884766,54.459999084472656,55.58000183105469,55.58000183105469,928000
2020-01-07,55.459999084472656,55.9900016784668,54.900001525878906,55.58000183105469,55.58000183105469,467600
2020-01-08,55.40999984741211,56.880001068115234,55.40999984741211,56.84000015258789,56.84000015258789,583900
2020-01-09,57.18000030517578,57.54999923706055,56.779998779296875,57.29999923706055,57.29999923706055,480300
2020-01-10,57.380001068115234,57.40999984741211,56.529998779296875,56.56999969482422,56.56999969482422,369900
2020-01-13,56.650001525878906,56.869998931884766,55.86000061035156,56.869998931884766,56.869998931884766,283000
2020-01-14,56.88999938964844,56.88999938964844,55.65999984741211,55.849998474121094,55.849998474121094,1504100
2020-01-15,55.40999984741211,55.41999816894531,54.22999954223633,54.349998474121094,54.349998474121094,762700
2020-01-16,54.88999938964844,55.52000045776367,54.369998931884766,54.7599983215332,54.7599983215332,657400
2020-01-17,54.93000030517578,55.31999969482422,54.439998626708984,54.47999954223633,54.47999954223633,748400
2020-01-21,54.220001220703125,54.41999816894531,53.79999923706055,53.83000183105469,53.83000183105469,497200
2020-01-22,53.83000183105469,53.88999938964844,53.15999984741211,53.380001068115234,53.380001068115234,448200
2020-01-23,52.400001525878906,53.900001525878906,51.310001373291016,53.720001220703125,53.720001220703125,1123400
2020-01-24,53.709999084472656,53.709999084472656,52.150001525878906,53.150001525878906,53.150001525878906,539500
2020-01-27,52.130001068115234,53.189998626708984,51.939998626708984,52.95000076293945,52.95000076293945,507600
2020-01-28,53.47999954223633,55.13999938964844,53.189998626708984,54.439998626708984,54.439998626708984,516100
2020-01-29,54.40999984741211,55.279998779296875,53.959999084472656,54.040000915527344,54.040000915527344,202500
2020-01-30,53.38999938964844,55.41999816894531,53.38999938964844,55.41999816894531,55.41999816894531,261300
