Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,2.5899999141693115,2.5999999046325684,2.380000114440918,2.440000057220459,2.440000057220459,332300
2020-01-03,2.359999895095825,2.490000009536743,2.2899999618530273,2.3499999046325684,2.3499999046325684,209300
2020-01-06,2.3299999237060547,2.5299999713897705,2.3299999237060547,2.4100000858306885,2.4100000858306885,100700
2020-01-07,2.390000104904175,2.4000000953674316,2.259999990463257,2.3399999141693115,2.3399999141693115,81900
2020-01-08,2.3299999237060547,2.359999895095825,2.200000047683716,2.3299999237060547,2.3299999237060547,237600
2020-01-09,2.319999933242798,2.4200000762939453,2.1500000953674316,2.369999885559082,2.369999885559082,157400
2020-01-10,2.3499999046325684,2.490000009536743,2.3399999141693115,2.4700000286102295,2.4700000286102295,155400
2020-01-13,2.4700000286102295,2.5,2.4000000953674316,2.430000066757202,2.430000066757202,63700
2020-01-14,2.4100000858306885,2.450000047683716,2.3299999237060547,2.390000104904175,2.390000104904175,125700
2020-01-15,2.4000000953674316,2.4600000381469727,2.369999885559082,2.440000057220459,2.440000057220459,87400
2020-01-16,2.4000000953674316,2.5399999618530273,2.390000104904175,2.5,2.5,199700
2020-01-17,2.549999952316284,2.5899999141693115,2.4800000190734863,2.5199999809265137,2.5199999809265137,76600
2020-01-21,2.5399999618530273,2.549999952316284,2.430000066757202,2.4800000190734863,2.4800000190734863,75100
2020-01-22,2.5,2.5199999809265137,2.4000000953674316,2.5,2.5,77800
2020-01-23,2.5299999713897705,2.549999952316284,2.380000114440918,2.450000047683716,2.450000047683716,104900
2020-01-24,2.450000047683716,2.490000009536743,2.3399999141693115,2.440000057220459,2.440000057220459,72400
2020-01-27,2.4000000953674316,2.4200000762939453,2.2899999618530273,2.299999952316284,2.299999952316284,80000
2020-01-28,2.299999952316284,2.4000000953674316,2.259999990463257,2.359999895095825,2.359999895095825,96400
2020-01-29,2.369999885559082,2.390000104904175,2.319999933242798,2.359999895095825,2.359999895095825,55600
2020-01-30,2.3299999237060547,2.440000057220459,2.25,2.3499999046325684,2.3499999046325684,40300
2020-01-31,2.299999952316284,2.440000057220459,2.2300000190734863,2.299999952316284,2.299999952316284,56600
2020-02-03,2.259999990463257,2.299999952316284,2.200000047683716,2.2799999713897705,2.2799999713897705,40900
2020-02-04,2.299999952316284,2.450000047683716,2.1500000953674316,2.4000000953674316,2.4000000953674316,60000
2020-02-05,2.430000066757202,2.7200000286102295,2.4100000858306885,2.690000057220459,2.690000057220459,360100
2020-02-06,2.690000057220459,3.109999895095825,2.690000057220459,2.940000057220459,2.940000057220459,593400
2020-02-07,2.990000009536743,3.0799999237060547,2.75,2.9200000762939453,2.9200000762939453,123800
2020-02-10,3.0299999713897705,3.2200000286102295,2.8499999046325684,2.950000047683716,2.950000047683716,358400
2020-02-11,2.9700000286102295,3.0799999237060547,2.9600000381469727,3.0299999713897705,3.0299999713897705,141100
2020-02-12,3.0999999046325684,3.0999999046325684,3.009999990463257,3.059999942779541,3.059999942779541,131000
